name;type;size;allergens;size_variant;price;frequency
XL Bravčové výpečky, kyslá kapusta, opekané zemiaky;Hlavné jedlo;150g/200g;1,3,7,12;XL;6.30 €;
XL Bravčové výpečky, kyslá kapusta, žemlová knedla;Hlavné jedlo;150g/160g;1,3,7,12;XL;6.30 €;
XL Bravčový guláš, knedle;Hlavné jedlo;150g/160g;1,3,7;XL;6.30 €;
XL Bravčový guláš, kolienka;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;
XL Bravčový guláš, noky;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;
XL Bravčový paprikáš, cestovina;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;
XL Bravčový perkelt, noky;Hlavné jedlo;150g/180g;1;XL;6.30 €;
XL Bravčový rezeň na rasci, tarhoňa, kyslá uhorka;Hlavné jedlo;150g/180g;1.7;XL;6.30 €;
XL Bravčový stroganov s kyslou uhorkou, hranolky;Hlavné jedlo;150g/200g;1,6,7,10;XL;6.30 €;
XL Bravčový stroganov, ½ryža, ½fritované zemiaky, tatárska omáčka;Hlavné jedlo;150g/150g/100g;1,6,7,10;XL;6.30 €;
XL Bravčový stroganov, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1,6,7,10;XL;6.30 €;
XL Bravčový stroganov, americké  zemiaky, uhorka;Hlavné jedlo;150g/200g;1,6,7,10;XL;6.30 €;
XL Bravčový stroganov, fritované zemiaky;Hlavné jedlo;150g/200g;1,6,7,10;XL;6.30 €;
XL Bravčový španielsky vtáčik, ryža, uhorka;Hlavné jedlo;150g/200g;1,3,10;XL;6.30 €;
XL Břeclavský bravčový rezeň, opekané zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Břeclavský bravčový rezeň, slovenská ryža;Hlavné jedlo;150g/180g;1;XL;6.30 €;
XL Břeclavský bravčový rezeň, tarhoňa, kyslá uhorka;Hlavné jedlo;150g/180g;1;XL;6.30 €;
XL Budapeštiansky bravčový rezeň, americké zemiaky, šalát;Hlavné jedlo;150g/200g;1.3;XL;6.30 €;
XL Budapeštiansky bravčový rezeň, fritované zemiaky, šalát;Hlavné jedlo;150g/200g;1.3;XL;6.30 €;
XL Budapeštiansky bravčový rezeň, opekané zemiaky, šalát;Hlavné jedlo;150g/200g;1.3;XL;6.30 €;
XL Budapeštiansky bravčový rezeň, pučené zemiaky, šalát;Hlavné jedlo;150g/200g;1.3;XL;6.30 €;
XL Budapeštiansky bravčový rezeň, varené zemiaky, šalát;Hlavné jedlo;150g/200g;1.3;XL;6.30 €;
XL Budapeštiansky bravčový rezeň, varené zemiaky, uhorka;Hlavné jedlo;150g/200g;1.3;XL;6.30 €;
XL Budapeštiansky bravčový rezeň, zemiaková kaša, uhorka;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Cigánsky kurací rezeň, americké zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Cigánsky kurací rezeň, pučené zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Cigánsky kurací rezeň, zem.kaša, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Čiernohorský kurací rezeň, americké zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Čiernohorský kurací rezeň, paprikové zemiaky, čalamáda;Hlavné jedlo;100g/200g;1,3,7;XL;6.30 €;
XL Čiernohorský kurací rezeň, zem.kaša, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Čiernohorský kurací rezeň, zemiaková kaša, uhorka;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Debrecínsky guláš, cestovina;Hlavné jedlo;150g/180g;1.3;XL;6.30 €;
XL Debrecínsky guláš, noky;Hlavné jedlo;150g/200g;1.3;XL;6.30 €;
XL Farebné kuracie prsia, ½ryža,½hranolky, obloha;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Farebné kuracie prsia, ryža, obloha;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Fritované kuracie rezance s ananásom a jablkom, ½ryža,½hranolky;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Fritované kuracie rezance so šunkovo-syrovou omáčkou, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1.7;XL;6.30 €;
XL Fritované kuracie rezančeky so syrovou omáčkou, ½r,½hr;Hlavné jedlo;150g/150g/100g;1.7;XL;6.30 €;
XL Fritované rezance so šunkovo syrovou omáčkou, ½ryža,½hranolky;Hlavné jedlo;150g/150g/100g;1.7;XL;6.30 €;
XL Fritované rezance so šunkovo syrovou omáčkou, ryža;Hlavné jedlo;150g/200g;1.7;XL;6.30 €;
XL Gazd.bravč.rezeň so slaninkou a cibuľou, ½ryža,½frit.zem.;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Gazdovský bravčový rezeň so slaninkou a cibuľkou, americké zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Gazdovský bravčový rezeň so slaninkou a cibuľou, ½ryža,½hranolky;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Gazdovský bravčový rezeň so slaninkou a cibuľou, opekané zemiaky;Hlavné jedlo;150g/180g;1;XL;6.30 €;
XL Gazdovský bravčový rezeň so slaninkou a cibuľou, paprikové zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Gazdovský bravčový rezeň so slaninkou a cibuľou, ryža;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Gemerské guľky, kyslá kapusta;Hlavné jedlo;600g;1.12;XL;6.30 €;
XL Guľky v paradajkovej omáčke, knedle;Hlavné jedlo;150g/160g;1,3,7;XL;6.30 €;
XL Gyros, zemiaková kaša , tzatziky;Hlavné jedlo;150g/200g;1.7;XL;6.30 €;
XL Chrumkavé kuracie prsia, americké zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Chrumkavé kuracie prsia, paprikové zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Chrumkavé kuracie prsia, pučené zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Chrumkavé kuracie prsia, zemiaková kaša, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kôprová omáčka, 2x fašírka alebo 2x volské oko, varené zemiaky;Hlavné jedlo;400g;1,3,7;XL;6.30 €;
XL Krušovický bravčový rezeň (klobása,slanina), ryža;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Kurací paprikáš, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1,3,7;XL;6.30 €;
XL Kurací paprikáš, kolienka;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;
XL Kurací paprikáš, noky;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací perkelt, noky;Hlavné jedlo;150g/200g;1.3;XL;6.30 €;
XL Kurací rezeň v cestíčku, americké  zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací rezeň v cestíčku, americké zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací rezeň v cestíčku, pučené zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací rezeň v cestíčku, varené zemiaky, čalamáda;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací rezeň v cestíčku, zem.kaša, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací rezeň v cuketovom cestíčku, paprikové zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací rezeň v cuketovom cestíčku, var.zem., šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací rezeň v cuketovom cestíčku, var.zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací rezeň v pivnom cestíčku, pučené zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací rezeň v pivnom cestíčku, varené zemiaky,šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací rezeň v pivnom cestíčku, zem.kaša, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací rezeň v sezamovom cestíčku, zemiaková kaša;Hlavné jedlo;150g/200g;1,3,7,11;XL;6.30 €;
XL Kurací rezeň v syrovom cestíčku, varené zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací rezeň v syrovom cestíčku, zemiačky s cibuľkou, mrkvovo-kapustový šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací rezeň v syrovom cestíčku, zemiaková kaša, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací stehenný plátok s provensálskym korením, americké zemiaky, šalát;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Kurací stehenný plátok s provensálskym korením, opek.zemiaky, šalát;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Kurací stroganov, ½ryža, ½frit.zemiaky;Hlavné jedlo;150g/150g/100g;1,6,7,10;XL;6.30 €;
XL Kurací stroganov, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1,6,7,10;XL;6.30 €;
XL Kurací stroganov, americké zemiaky, tatárska omáčka;Hlavné jedlo;150g/200g;1,6,7,10;XL;6.30 €;
XL Kurací stroganov, ryža;Hlavné jedlo;150g/200g;1,6,7,10;XL;6.30 €;
XL Kurací špíz v trojobale, pečené zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací špíz v trojobale, pučené zemiaky s maslom, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací špíz v trojobale, varené zemiaky, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací špíz v trojobale, zemiaková kaša, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kurací závitok, ryža, kompót;Hlavné jedlo;150g/200g;1,7,10;XL;6.30 €;
XL Kuracia roláda, ½ryža, ½hranolky, kompót;Hlavné jedlo;150g/150g/100g;1,3;XL;6.30 €;
XL Kuracia roláda, ryža, kompót;Hlavné jedlo;150g/200g;1.3;XL;6.30 €;
XL Kuracia roláda, zem.kaša, kompót;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Kuracie kocky na spôsob Chilli con carne, ryža;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Kuracie na smotane, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1.7;XL;6.30 €;
XL Kuracie na smotane, kolienka;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;
XL Kuracie prsia na paprike, maslové halušky;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;
XL Kuracie prsia s jarnou zeleninou, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Kuracie prsia s jarnou zeleninou, fritované zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Kuracie rezance so šunkovo-syrovou omáčkou, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1.7;XL;6.30 €;
XL Kuracie rezančeky na slanine, slovenská ryža, kyslá uhorka;Hlavné jedlo;150g/180g;1;XL;6.30 €;
XL Kuracie soté so zeleninovou ryžou;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Kuracie v hubovo-smotanovej omáčke, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1,7;XL;6.30 €;
XL Kuracie v zemiakovej placke, biela a červená kapusta;Hlavné jedlo;150g;1,3,7;XL;6.30 €;
XL Kuracie v zemiakovej placke, zeleninová obloha;Hlavné jedlo;150g;1,3,7;XL;6.30 €;
XL Labužnícky bravčový rezeň (s klobáskou a kyslou kapustou), americké zemiaky;Hlavné jedlo;150g/200g;1.12;XL;6.30 €;
XL Labužnícky bravčový rezeň (s klobáskou a kyslou kapustou), opekané zemiaky;Hlavné jedlo;150g/180g;1.12;XL;6.30 €;
XL Labužnícky bravčový rezeň (s klobáskou a kyslou kapustou), paprikované zemiaky;Hlavné jedlo;150g/200g;1.12;XL;6.30 €;
XL Maďarský guľáš, knedle;Hlavné jedlo;150g/160g;1,3,7;XL;6.30 €;
XL Maďarský guľáš, maslové halušky;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;
XL Maďarský guľáš, noky;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;
XL Marinované kuracie prsia, ½r½h, šalát;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Marinované kuracie prsia, ½ryža, ½hranolky, ang.zelenina;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Marinované kuracie prsia, ½ryža, ½hranolky, obloha;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Marinované kuracie prsia, americké zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Marinované kuracie prsia, fritované zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Marinované kuracie prsia, opekané zemiaky, zeleninový šalát;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Marinované kuracie prsia, ryža, obloha;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Marinovaný bok, kyslá kapusta, knedla;Hlavné jedlo;150g/160g;1,3,7,12;XL;6.30 €;
XL Mäsové guľky v smotanovej omáčke, opek. zemiaky, uhork. šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Moravský vrabec, kapusta, knedle;Hlavné jedlo;150g/160g;1,3,7,12;XL;6.30 €;
XL Pastiersky rezeň, opekané zemiaky;Hlavné jedlo;150g/200g;1.7;XL;6.30 €;
XL Pastiersky rezeň, ryža;Hlavné jedlo;150g/200g;1.7;XL;6.30 €;
XL Pastiersky rezeň, zemiaková kaša;Hlavné jedlo;150g/200g;1.7;XL;6.30 €;
XL Pivný guláš, noky;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;
XL Plnená brav. roláda /sekaná /, zem. kaša, šalát;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Prír. kur. rezeň s cibuľovo-horčicovou omáčkou, opek.zemiaky,šalát;Hlavné jedlo;100g/200g;1,10;XL;6.30 €;
XL Prír. kur.rezeň , baby mrkva na masle, zem. kaša;Hlavné jedlo;150g/200g;1.7;XL;6.30 €;
XL Prír. kurací rezeň na smotane, cestovina;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;
XL Prír.bravč.prsia so šampiňónmi, ½ryža, ½hranolky, šalát;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.bravč.rezeň na rasci, slovenská ryža, kyslá uhorka;Hlavné jedlo;150g/180g;1;XL;6.30 €;
XL Prír.bravč.rezeň na rasci, tarhoňa, kyslá uhorka;Hlavné jedlo;150g/180g;1;XL;6.30 €;
XL Prír.bravč.rezeň na smotane, cestovina;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;
XL Prír.bravč.rezeň na spôsob Chilli con carne, ryža;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň na šampiňónoch, ryža, kyslá uhorka;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň na zázvore a zelenej fazuľke, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1.7;XL;6.30 €;
XL Prír.bravč.rezeň na zelenine, fritované zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň na zelenine, ryža;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň na zelenine, varené zemiaky s maslom a petržlenovou vňaťou;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň s bratislavskou omáčkou, knedle;Hlavné jedlo;150g/160g;1,3,7;XL;6.30 €;
XL Prír.bravč.rezeň s bratislavskou omáčkou, kolienka;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;
XL Prír.bravč.rezeň s bratislavskou omáčkou, maslové halušky;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;
XL Prír.bravč.rezeň s farebnou paprikou a kečupom, americké zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň s grilovanou zeleninou, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.bravč.rezeň s hráškovou ryžou a šalátom s mrazenej zeleniny;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň s hubami na smotane, knedle;Hlavné jedlo;150g/160g;1,3,7;XL;6.30 €;
XL Prír.bravč.rezeň s hubovou omáčkou, knedle;Hlavné jedlo;150g/160g;1,3,7;XL;6.30 €;
XL Prír.bravč.rezeň s hubovou omáčkou, ryža;Hlavné jedlo;150g/200g;1.7;XL;6.30 €;
XL Prír.bravč.rezeň s jarnou zeleninou, americké zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň s karotkou a kukuricou, ryža;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň s klobásou a slaninou, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.bravč.rezeň s klobásou a slaninou, americké zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň s klobásou a slaninou, opekané zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň s klobásou a slaninou, ryža;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň s koreňovou zeleninou na masle, zem.kaša;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň s koreňovou zeleninou, slovenská ryža;Hlavné jedlo;150g/180g;1;XL;6.30 €;
XL Prír.bravč.rezeň s kôprovou omáčkou, knedle;Hlavné jedlo;150g/160g;1,3,7;XL;6.30 €;
XL Prír.bravč.rezeň s kôprovou omáčkou, staročeská knedla;Hlavné jedlo;150g/160g;1,3,7;XL;6.30 €;
XL Prír.bravč.rezeň s kôprovou omáčkou, varené zemiaky;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Prír.bravč.rezeň s pórom a kukuricou, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/150g4,00 €;1;XL;6.30 €;
XL Prír.bravč.rezeň s volským okom, ½ryža, ½hranolky, zel.šalát;Hlavné jedlo;150g/150g/100g;1.3;XL;6.30 €;
XL Prír.bravč.rezeň s volským okom, fritované zemiaky;Hlavné jedlo;150g/200g;3;XL;6.30 €;
XL Prír.bravč.rezeň s volským okom, opekané zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň s volským okom, paprikové zemiaky;Hlavné jedlo;150g/200g;3;XL;6.30 €;
XL Prír.bravč.rezeň so slaninkou a cibuľou, opek.zemiaky;Hlavné jedlo;150g/180g;1;XL;6.30 €;
XL Prír.bravč.rezeň so šampiňónmi, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.bravč.rezeň so šampiňónmi, opekané zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň so šampiňónmi, ryža;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň so šampiňónmi, zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň so šunkou a syrom, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.bravč.rezeň so šunkou a syrom, ryža;Hlavné jedlo;150g/300g;1;XL;6.30 €;
XL Prír.bravč.rezeň so šunkovo-syrovou omáčkou, fritované zemiaky ;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Prír.bravč.rezeň so zelenou fazuľkou, americké zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň so zelenou fazuľkou, opekané zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň so zelenou fazuľkou, varené zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň so znojemskou omáčkou, ½ryža, ½hranolky;Hlavné jedlo;150g/100g/100g;1;XL;6.30 €;
XL Prír.bravč.rezeň so znojemskou omáčkou, cestovina;Hlavné jedlo;150g/180g;1,3,7;XL;6.30 €;
XL Prír.bravč.rezeň, ½ryža, ½frit.zem., zel.šalát;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.bravč.rezeň, ½ryža, ½hranolky, zel.obloha;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.bravč.rezeň, ½ryža, ½hranolky, zelenina na masle;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.bravč.rezeň, hrášková ryža, obloha;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň, chrenová omáčka, knedle;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Prír.bravč.rezeň, opekané zemiaky, šalát so zelenej fazuľky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.bravč.rezeň, slovenská ryža, kyslá uhorka;Hlavné jedlo;100g/180g;1;XL;6.30 €;
XL Prír.kur. rezeň s jablk.-zeler.omáčkou, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/150g;1,7;XL;6.30 €;
XL Prír.kur.rezeň , opekané zemiaky, mrkvovo-jablkový šalát;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.kur.rezeň na bylinkovom masle, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.kur.rezeň na spôsob Chilli con carne, ryža;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.kur.rezeň na zelenine, ryža;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.kur.rezeň s ananásom a jablkom, 1/2ryža,1/2hranolky;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.kur.rezeň s ananásom a jablkom, opekané zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.kur.rezeň s anglickou zeleninou, ½ryža,½hranolky;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.kur.rezeň s brokolicou a orieškami, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/150g4,00 €;1.8;XL;6.30 €;
XL Prír.kur.rezeň s broskyňou a syrom, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1.7;XL;6.30 €;
XL Prír.kur.rezeň s broskyňou a syrom, ryža;Hlavné jedlo;150g/200g;1.7;XL;6.30 €;
XL Prír.kur.rezeň s broskyňou a syrom, ryža s hráškom;Hlavné jedlo;150g/200g;1.7;XL;6.30 €;
XL Prír.kur.rezeň s cibuľovo-horčicovou omáčkou, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1, 10;XL;6.30 €;
XL Prír.kur.rezeň s cibuľovo-horčicovou omáčkou, op.zem., šalát;Hlavné jedlo;150g/200g;1, 10;XL;6.30 €;
XL Prír.kur.rezeň s farebnou zeleninou na masle, ryža;Hlavné jedlo;150g/200g;1.7;XL;6.30 €;
XL Prír.kur.rezeň s grilovanou zeleninou, opekané zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.kur.rezeň s hráškom a mrkvou na masle, ryža, obloha;Hlavné jedlo;150g/200g;1,3,7;XL;6.30 €;
XL Prír.kur.rezeň s hráškovým krémom, opekané zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.kur.rezeň s hráškovým krémom, zemiaky s cibuľkou;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.kur.rezeň s hubovo-smotanovou omáčkou, fritované zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.kur.rezeň s hubovo-smotanovou omáčkou, knedle;Hlavné jedlo;150g/160g;1,3,7;XL;6.30 €;
XL Prír.kur.rezeň s hubovou omáčkou, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1.7;XL;6.30 €;
XL Prír.kur.rezeň s karam.jablkom a syrom, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1,3,7;XL;6.30 €;
XL Prír.kur.rezeň s karam.jablkom, ½ryža,½hranolky;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.kur.rezeň s karam.jablkom, opekané zemiaky;Hlavné jedlo;150g/200g;1.7;XL;6.30 €;
XL Prír.kur.rezeň s karam.jablkom, ryža;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.kur.rezeň s karotkou, opekané zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.kur.rezeň s koreňovou zeleninou,  opekané zemiaky;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.kur.rezeň s koreňovou zeleninou, ½ryža,½frit.zem.;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.kur.rezeň s koreňovou zeleninou, ½ryža,½hranolky;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.kur.rezeň s koreňovou zeleninou, zem.kaša;Hlavné jedlo;220g/200g;1.7;XL;6.30 €;
XL Prír.kur.rezeň s koreňovou zeleninou, zemiaková kaša;Hlavné jedlo;150g/200g;1.7;XL;6.30 €;
XL Prír.kur.rezeň s medovo-horčicovou omáčkou, fritované zemiaky, zel.šalát;Hlavné jedlo;150g/200g;1,10;XL;6.30 €;
XL Prír.kur.rezeň s paradajkou a syrom, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1.7;XL;6.30 €;
XL Prír.kur.rezeň s pórom a kukuricou, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1;XL;6.30 €;
XL Prír.kur.rezeň s volským okom, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1.3;XL;6.30 €;
XL Prír.kur.rezeň s volským okom, opekané zemiaky;Hlavné jedlo;150g/200g;1.3;XL;6.30 €;
XL Prír.kur.rezeň s volským okom, ryža;Hlavné jedlo;150g/200g;1.3;XL;6.30 €;
XL Prír.kur.rezeň s volským okom, zem. kaša;Hlavné jedlo;150g/200g;1.3;XL;6.30 €;
XL Prír.kur.rezeň s volským okom, zemiak. kaša;Hlavné jedlo;100g/200g;1,3,7;XL;6.30 €;
XL Prír.kur.rezeň so smotanovo provensálskou omáčkou, opekané zemiaky;Hlavné jedlo;150g/200g;1.7;XL;6.30 €;
XL Prír.kur.rezeň so smotanovou omáčkou, cestovina;Hlavné jedlo;150g/180g;1;XL;6.30 €;
XL Prír.kur.rezeň so šampiňónmi, americké zemiaky;Hlavné jedlo;150g/150g/100g;1.7;XL;6.30 €;
XL Prír.kur.rezeň so šampiňónmi, ryža;Hlavné jedlo;150g/200g;1;XL;6.30 €;
XL Prír.kur.rezeň so šunkou a syrom, ½ryža, ½frit.zem.;Hlavné jedlo;150g/150g/100g;1.3;XL;6.30 €;
XL Prír.kur.rezeň so šunkou a syrom, ½ryža, ½hranolky;Hlavné jedlo;150g/150g/100g;1.3;XL;6.30 €;
XL Prír.kur.rezeň so šunkou a syrom, fritované zemiaky;Hlavné jedlo;150g/200g;1.7;XL;6.30 €;
XL Prír.kur.rezeň so šunkou a syrom, opekané zemiaky;Hlavné jedlo;100g/200g;1.7;XL;6.30 €;
